,ImplicitDayrate,ImplicitDayrate,ImplicitDayrate,ImplicitDayrate,Count,Count,Count,Count
VesselType,Aframax/LR2,MR,Suezmax,VLCC,Aframax/LR2,MR,Suezmax,VLCC
Date,,,,,,,,
2023-09-24,37842.68462761862,,42184.1224145603,56894.31916527742,18.0,0.0,25.0,23.0
2023-09-25,38175.648980912396,,42545.3565929786,57410.557333579025,18.0,0.0,25.0,23.0
2023-09-26,38229.35423056995,,42603.6216040673,57493.82360348792,18.0,0.0,25.0,23.0
2023-09-27,38186.390030843904,,42557.009595196345,57427.210587560796,18.0,0.0,25.0,23.0
2023-09-28,38508.61538285195,,42906.59299397983,57926.79867816403,18.0,0.0,25.0,23.0
2023-09-29,38457.24298892969,,43171.33074457519,58296.386303143445,18.0,0.0,25.0,23.0
2023-09-30,38457.24298892969,,43171.33074457519,58296.386303143445,18.0,0.0,25.0,23.0
2023-10-01,38457.24298892969,,43171.33074457519,58296.386303143445,18.0,0.0,25.0,23.0
2023-10-02,37572.43903959002,,42201.8098874501,56911.1102173132,18.0,0.0,25.0,23.0
2023-10-03,37647.06074094692,,42283.57635776669,57027.940231974455,18.0,0.0,25.0,23.0
2023-10-04,36943.481794883504,,41512.632169111515,55926.39554605542,18.0,0.0,25.0,23.0
2023-10-05,38361.30022053115,,43066.2017890341,58146.175374756385,18.0,0.0,25.0,23.0
2023-10-06,37803.370834273715,,42618.093846362004,57490.992618568445,18.0,0.0,25.0,23.0
2023-10-07,37803.370834273715,,42618.093846362004,57490.992618568445,18.0,0.0,25.0,23.0
2023-10-08,37803.370834273715,,42618.093846362004,57490.992618568445,18.0,0.0,25.0,23.0
2023-10-09,38854.73058470336,,43776.055911566116,59144.975744062,18.0,0.0,25.0,23.0
2023-10-10,39311.38221910087,,44279.009605037536,59863.37313107807,18.0,0.0,25.0,23.0
2023-10-11,39842.37211480669,,44863.839066107124,60698.718337080216,18.0,0.0,25.0,23.0
2023-10-12,40054.76685774959,,45097.76951196656,61032.85450752762,18.0,0.0,25.0,23.0
2023-10-13,40206.59941293305,,45368.693609760456,61458.829808728806,18.0,0.0,25.0,23.0
2023-10-14,40206.59941293305,,45368.693609760456,61458.829808728806,18.0,0.0,25.0,23.0
2023-10-15,40206.59941293305,,45368.693609760456,61458.829808728806,18.0,0.0,25.0,23.0
2023-10-16,40640.87613314613,,45848.44222390844,62144.62307471868,18.0,0.0,25.0,23.0
2023-10-17,40863.30966386123,,46094.166144012335,62495.88163958011,18.0,0.0,25.0,23.0
2023-10-18,40577.32196412491,,45778.233476600275,62044.26075016454,18.0,0.0,25.0,23.0
2023-10-19,40301.928646178494,,45474.004498897804,61609.37010520067,18.0,0.0,25.0,23.0
2023-10-20,40658.03809896508,,45863.65422008628,62307.93403295506,18.0,0.0,25.0,23.0
2023-10-21,40658.03809896508,,45863.65422008628,62307.93403295506,18.0,0.0,25.0,23.0
2023-10-22,40658.03809896508,,45863.65422008628,62307.93403295506,18.0,0.0,25.0,23.0
2023-10-23,40531.076920866326,,45723.414274393406,62106.89720912092,18.0,0.0,25.0,23.0
2023-10-24,41060.08653830471,,46307.75258261915,62944.55809774945,18.0,0.0,25.0,23.0
2023-10-25,41165.88684738315,,46424.61846100529,63112.08771913698,18.0,0.0,25.0,23.0
2023-10-26,41028.34523477425,,46272.69148165904,62894.297294079566,18.0,0.0,25.0,23.0
2023-10-27,41948.51468957695,,47309.94939085656,64261.29328510837,18.0,0.0,25.0,23.0
2023-10-28,41948.51468957695,,47309.94939085656,64261.29328510837,18.0,0.0,25.0,23.0
2023-10-29,41948.51468957695,,47309.94939085656,64261.29328510837,18.0,0.0,25.0,23.0
2023-10-30,41503.865953879285,,46818.514679111155,63558.4253335513,18.0,0.0,25.0,23.0
